ID,곡,아티스트,예상 난이도,장르,분위기 유형,핵심 테크닉 태그,설명 feature,상태
S0053,Moonshot,N.Flying,Lv.3,Korea;Pop Rock,신나는/질주,빠른템포;지구력;타이트한8비트;뮤트;싱코페이션,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 후렴에서 드라이브가 강함. 8비트가 흔들리면 곡이 ‘늘어짐’—클릭 고정. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0054,Red,The Rose,Lv.3,Korea;Pop Rock,신나는/질주,빠른템포;지구력;타이트한8비트;뮤트,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 템포가 빠르고 에너지가 강함. 8비트를 기계처럼 유지하는 게 핵심. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0055,오리날다,체리필터,Lv.3,Korea;Pop Rock,신나는/질주,빠른템포;지구력;타이트한8비트;뮤트,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 빠른 템포 + 직진 8비트. 체력과 ‘끝까지 같은 어택’ 유지가 핵심. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0056,청춘 98,노브레인,Lv.3,Korea;Punk Rock,신나는/질주,빠른템포;지구력;다운피킹/피킹;타이트한8비트,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 다운피킹/피킹. 펑크 기본기 + 지구력. 템포가 밀리면 곡이 힘이 빠져서 클릭 고정. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0057,The Real,N.Flying,Lv.3,Korea;Rock,신나는/질주,빠른템포;지구력;타이트한8비트;뮤트,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 락 사운드에서 베이스가 밑에서 밀어주는 곡. 리프 반복 구간 지구력 체크. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0058,Rain To Be,ONEWE,Lv.3,Korea;Rock,신나는/질주,빠른템포;지구력;타이트한8비트;뮤트,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 록 드라이브가 강함. 오른손 지구력 + 포지션 이동 시 줄 노이즈 컨트롤. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0059,나에게로 떠나는 여행,버즈,Lv.3,Korea;Rock,신나는/질주,빠른템포;지구력;타이트한8비트;뮤트,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 템포가 빨라질수록 난이도 상승. 오른손 교대와 박자 고정 연습. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0060,Hey Hey Hey,자우림,Lv.3,Korea;Rock,신나는/질주,빠른템포;지구력;타이트한8비트;뮤트,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 리프/리듬이 강한 곡. 템포 유지가 가장 큰 난관—메트로놈 필수. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0061,안드로메다,체리필터,Lv.3,Korea;Rock,신나는/질주,빠른템포;지구력;타이트한8비트;뮤트,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 록 드라이브가 강한 곡. 킥과 붙는 타이밍 + 줄 노이즈 뮤트 연습. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0062,ロビンソン (Robinson),スピッツ (Spitz),Lv.3,Japan;Pop Rock,잔잔한/감성,루트;롱톤;다이내믹;톤컨트롤,잔잔하지만 밴드 사운드의 중심을 잡는 곡. 단순한 라인에서도 ‘박과 음 길이’가 흔들리면 곡이 무너진다. 메트로놈으로 롱톤을 일정하게 유지하는 연습에 최적.,추천
S0063,天体観測 (Tentaikansoku),BUMP OF CHICKEN,Lv.3,Japan;Rock,잔잔한/감성,루트+전개;포지션이동;롱톤;다이내믹,감성 록에서 베이스가 공간을 채우는 타입. 난이도는 중급이지만 음 길이/다이내믹이 중요해서 ‘감정 표현’ 훈련에 좋다. 코드 진행을 이해하며 치면 훨씬 자연스럽다.,추천
S0064,주저하는 연인들을 위해,잔나비,Lv.3,Korea;Indie Pop,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.3(중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 서정적인 밴드 발라드. 베이스는 과하지 않게, 코드톤을 예쁘게 연결. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0065,기억을 걷는 시간,넬,Lv.3,Korea;Indie Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동;다이내믹,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.3(중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 잔잔하지만 빌드가 큼. 다이내믹을 ‘점진적으로’ 올리는 게 포인트. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0066,긴 꿈,새소년,Lv.3,Korea;Indie Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.3(중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 호흡이 긴 곡. 박자보다 ‘프레이즈’가 중요해서 음 길이 컨트롤 연습에 좋음. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0067,백치,쏜애플,Lv.3,Korea;Indie Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.3(중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 멜로디와 함께 호흡하는 베이스. 프레이즈 끝의 음 길이를 깔끔히 정리. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0068,서울,쏜애플,Lv.3,Korea;Indie Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동;다이내믹,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.3(중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 감성 인디록. 베이스는 ‘정확한 저역’으로 곡의 바닥을 만드는 역할. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0069,Comes and Goes,혁오,Lv.3,Korea;Indie Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.3(중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 단정한 라인 유지가 중요. 노이즈 뮤트와 볼륨 균일로 ‘정갈함’ 만들기. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0070,I'm Sorry,CNBLUE,Lv.3,Korea;Pop Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동;다이내믹,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.3(중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 벌스/코러스의 ‘볼륨 곡선’을 베이스로 만들기. 낮은 음역 톤 정리. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0071,Love,CNBLUE,Lv.3,Korea;Pop Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.3(중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 베이스가 코드를 안정적으로 받쳐주는 스타일. 음정/롱톤이 깨끗하면 합주가 정돈됨. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0072,바래,FTISLAND,Lv.3,Korea;Pop Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.3(중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 록발라드의 기본기. 후렴에서 음 길이/다이내믹을 크게 가져가되 박은 더 정확히. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0073,지독하게 (Severely),FTISLAND,Lv.3,Korea;Pop Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.3(중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 감정선이 강한 곡. 베이스는 과하지 않게, ‘노이즈 없는 롱톤’이 포인트. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0074,굿밤 (Good Bam),N.Flying,Lv.3,Korea;Pop Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.3(중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 감성 팝록. 베이스가 ‘너무 튀지 않게’ 멜로디를 받쳐주는 연습. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0075,Parting,ONEWE,Lv.3,Korea;Pop Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.3(중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 코드 진행이 예쁜 곡. 코드톤 중심으로 안정감 있게, 불필요한 장식은 줄이기. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0076,Regulus,ONEWE,Lv.3,Korea;Pop Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동;다이내믹,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.3(중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 서정적인 전개. 베이스가 ‘서사’를 만든다는 느낌으로 음 길이를 설계. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0077,She's in the Rain,The Rose,Lv.3,Korea;Pop Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동;다이내믹,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.3(중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 긴 호흡의 감성곡. 박을 너무 앞당기지 말고 ‘뒤로 기대는’ 포켓을 유지. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0078,Sorry,The Rose,Lv.3,Korea;Pop Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.3(중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 벌스는 절제, 코러스는 확장. 베이스 볼륨/톤으로 구간 대비를 만드는 연습. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0079,박하사탕,YB,Lv.3,Korea;Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.3(중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 서정 록. 베이스는 ‘호흡’이 중요—프레이즈 끝 음 길이를 예쁘게 정리. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0080,겁쟁이,버즈,Lv.3,Korea;Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.3(중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 감성 록에서 베이스가 튀면 보컬이 묻힘. 단정한 톤/타이밍 유지. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0081,"스물다섯, 스물하나",자우림,Lv.3,Korea;Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.3(중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 감성 록에서 베이스가 너무 튀면 감정선이 깨짐. 단정한 톤/타이밍. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0082,뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비,Lv.3,Korea;Indie Pop,흥겨운/댄서블,리프반복;타이트한8비트;뮤트;포지션이동,"리듬이 앞으로 끌고 가는 댄서블한 곡. 킥과 포켓을 타이트하게 맞추는 게 핵심. 난이도 Lv.3(중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 스윙감 있는 팝. 박을 너무 딱딱하게 치지 말고 ‘살짝 흔들어’ 리듬을 만들기. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0083,Can't Stop,CNBLUE,Lv.3,Korea;Pop Rock,흥겨운/댄서블,빠른템포;지구력;타이트한8비트;뮤트,"리듬이 앞으로 끌고 가는 댄서블한 곡. 킥과 포켓을 타이트하게 맞추는 게 핵심. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 기타 스트로크가 시원한 곡. 베이스는 드럼 킥과 1:1로 붙여 추진력 만들기. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0084,Cinderella,CNBLUE,Lv.3,Korea;Pop Rock,흥겨운/댄서블,빠른템포;지구력;타이트한8비트;뮤트,"리듬이 앞으로 끌고 가는 댄서블한 곡. 킥과 포켓을 타이트하게 맞추는 게 핵심. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 밝은 팝록. 템포가 빨라지기 쉬우니 클릭에 고정 + 힘 빼기. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0085,한 페이지가 될 수 있게,DAY6,Lv.3,Korea;Pop Rock,흥겨운/댄서블,빠른템포;지구력;타이트한8비트;뮤트,"리듬이 앞으로 끌고 가는 댄서블한 곡. 킥과 포켓을 타이트하게 맞추는 게 핵심. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 후렴에서 템포가 흔들리기 쉬움. 오른손을 ‘고정’하고 드럼 킥과 달리기. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0086,Hot Potato,N.Flying,Lv.3,Korea;Pop Rock,흥겨운/댄서블,빠른템포;지구력;타이트한8비트;뮤트,"리듬이 앞으로 끌고 가는 댄서블한 곡. 킥과 포켓을 타이트하게 맞추는 게 핵심. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 빠른 팝록에서 안정감이 중요. 뮤트로 저역을 정리하면 더 프로처럼 들림. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0087,End of Spring,ONEWE,Lv.3,Korea;Pop Rock,흥겨운/댄서블,빠른템포;지구력;타이트한8비트;뮤트,"리듬이 앞으로 끌고 가는 댄서블한 곡. 킥과 포켓을 타이트하게 맞추는 게 핵심. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 밝은 밴드곡. 합주에서 베이스가 ‘정확하게’ 받쳐주면 전체가 탄탄해짐. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0088,Baby,The Rose,Lv.3,Korea;Pop Rock,흥겨운/댄서블,리프반복;타이트한8비트;뮤트;포지션이동;싱코페이션,"리듬이 앞으로 끌고 가는 댄서블한 곡. 킥과 포켓을 타이트하게 맞추는 게 핵심. 난이도 Lv.3(중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 그루브가 있는 팝록. 드럼 스네어 뒤 공간을 베이스로 깔끔히 채우기. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0089,Colorful Express,페퍼톤스,Lv.3,Korea;Pop Rock,흥겨운/댄서블,빠른템포;지구력;타이트한8비트;뮤트,"리듬이 앞으로 끌고 가는 댄서블한 곡. 킥과 포켓을 타이트하게 맞추는 게 핵심. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 리듬이 달리는 곡. 오른손 고정 + 포지션 이동 최소화로 안정감 만들기. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0090,New Hippie Generation,페퍼톤스,Lv.3,Korea;Pop Rock,흥겨운/댄서블,빠른템포;지구력;타이트한8비트;뮤트,"리듬이 앞으로 끌고 가는 댄서블한 곡. 킥과 포켓을 타이트하게 맞추는 게 핵심. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 합주에서 베이스가 탄탄하면 전체가 ‘밝게’ 들림. 음정/타이밍 집중. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0091,SUPERFANTASTIC,페퍼톤스,Lv.3,Korea;Pop Rock,흥겨운/댄서블,빠른템포;지구력;타이트한8비트;뮤트,"리듬이 앞으로 끌고 가는 댄서블한 곡. 킥과 포켓을 타이트하게 맞추는 게 핵심. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 밝은 팝록에서 템포 유지/지구력 훈련. 코러스에서 급해지지 않게. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0092,밤이 깊었네,크라잉넛,Lv.3,Korea;Rock,흥겨운/댄서블,리프반복;타이트한8비트;뮤트;포지션이동,"리듬이 앞으로 끌고 가는 댄서블한 곡. 킥과 포켓을 타이트하게 맞추는 게 핵심. 난이도 Lv.3(중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 라이브에서 신나는 합주곡. 리프 반복에서 그루브 유지가 핵심. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0093,Panic Station,Muse,Lv.4,Funk Rock;Rock,그루브/펑키,16비트;싱코페이션;고스트노트;포켓,"포켓/그루브가 전부인 펑키 타입. 쉼표, 고스트노트, 액센트 컨트롤이 포인트. 난이도 Lv.4(상급) — 핵심: 16비트, 싱코페이션, 고스트노트. 펑크/록 혼합 리프. 16비트 느낌과 액센트가 정확해야 ‘댄서블’하게 들림. 왼손 릴리즈(뮤트)와 오른손 액센트 대비로 ‘쉼표가 들리게’ 만들기.",추천
S0094,Aeroplane,Red Hot Chili Peppers,Lv.4,Funk Rock;Rock,그루브/펑키,슬랩;팝핑;고스트노트;16비트;그루브,"포켓/그루브가 전부인 펑키 타입. 쉼표, 고스트노트, 액센트 컨트롤이 포인트. 난이도 Lv.4(상급) — 핵심: 슬랩, 팝핑, 고스트노트. 슬랩+그루브 대표곡. 고스트노트로 ‘리듬’만 만들고, 음은 또렷하게 분리. 썸/팝 볼륨을 균일하게 맞추고, 고스트노트를 ‘작게’ 넣어 그루브를 정리.",추천
S0095,Give It Away,Red Hot Chili Peppers,Lv.4,Funk Rock;Rock,그루브/펑키,16비트;싱코페이션;고스트노트;포켓,"포켓/그루브가 전부인 펑키 타입. 쉼표, 고스트노트, 액센트 컨트롤이 포인트. 난이도 Lv.4(상급) — 핵심: 16비트, 싱코페이션, 고스트노트. 펑크 리듬의 기본. 액센트 위치를 정확히 잡고, 쉼표를 칼같이 끊기. 왼손 릴리즈(뮤트)와 오른손 액센트 대비로 ‘쉼표가 들리게’ 만들기.",추천
S0096,1612,Vulfpeck,Lv.4,Funk;Funk Pop,그루브/펑키,16비트;싱코페이션;고스트노트;포켓,"포켓/그루브가 전부인 펑키 타입. 쉼표, 고스트노트, 액센트 컨트롤이 포인트. 난이도 Lv.4(상급) — 핵심: 16비트, 싱코페이션, 고스트노트. 싱코페이션이 맛. 쉼표를 정확히 끊고, 액센트 위치를 분명히. 왼손 릴리즈(뮤트)와 오른손 액센트 대비로 ‘쉼표가 들리게’ 만들기.",추천
S0097,Dean Town,Vulfpeck,Lv.4,Funk;Funk Pop,그루브/펑키,16비트;싱코페이션;고스트노트;포켓;고속16비트,"포켓/그루브가 전부인 펑키 타입. 쉼표, 고스트노트, 액센트 컨트롤이 포인트. 난이도 Lv.4(상급) — 핵심: 16비트, 싱코페이션, 고스트노트. 고속 펑크 그루브. 메트로놈에 고정하고 고스트노트 볼륨을 일정하게. 왼손 릴리즈(뮤트)와 오른손 액센트 대비로 ‘쉼표가 들리게’ 만들기.",추천
S0098,Cissy Strut,The Meters,Lv.4,Funk;Funk Rock,그루브/펑키,16비트;싱코페이션;고스트노트;포켓,"포켓/그루브가 전부인 펑키 타입. 쉼표, 고스트노트, 액센트 컨트롤이 포인트. 난이도 Lv.4(상급) — 핵심: 16비트, 싱코페이션, 고스트노트. 심플하지만 포켓이 전부. ‘뒤로’ 눕는 타이밍과 쉼표 정리 연습. 왼손 릴리즈(뮤트)와 오른손 액센트 대비로 ‘쉼표가 들리게’ 만들기.",추천
S0099,Virtual Insanity,Jamiroquai,Lv.4,Funk;Neo-soul,그루브/펑키,16비트;싱코페이션;고스트노트;포켓,"포켓/그루브가 전부인 펑키 타입. 쉼표, 고스트노트, 액센트 컨트롤이 포인트. 난이도 Lv.4(상급) — 핵심: 16비트, 싱코페이션, 고스트노트. 네오소울/펑크 그루브의 정석. 고스트노트와 액센트로 ‘흔들림’을 만들기. 왼손 릴리즈(뮤트)와 오른손 액센트 대비로 ‘쉼표가 들리게’ 만들기.",추천
S0100,Forget Me Nots,Patrice Rushen,Lv.4,Funk;R&B,그루브/펑키,16비트;싱코페이션;고스트노트;포켓,"포켓/그루브가 전부인 펑키 타입. 쉼표, 고스트노트, 액센트 컨트롤이 포인트. 난이도 Lv.4(상급) — 핵심: 16비트, 싱코페이션, 고스트노트. 댄서블한 펑크/소울 라인. 싱코페이션의 ‘쉼표’가 더 중요—끊어치기 정확히. 왼손 릴리즈(뮤트)와 오른손 액센트 대비로 ‘쉼표가 들리게’ 만들기.",추천
S0101,Higher Ground,Stevie Wonder,Lv.4,Funk;Soul,그루브/펑키,16비트;싱코페이션;고스트노트;포켓,"포켓/그루브가 전부인 펑키 타입. 쉼표, 고스트노트, 액센트 컨트롤이 포인트. 난이도 Lv.4(상급) — 핵심: 16비트, 싱코페이션, 고스트노트. 반복 리프의 미세한 타이밍이 난이도. 드럼과 완전 유니즌으로 붙이기. 왼손 릴리즈(뮤트)와 오른손 액센트 대비로 ‘쉼표가 들리게’ 만들기.",추천
S0102,I Wish,Stevie Wonder,Lv.4,Funk;Soul,그루브/펑키,싱코페이션;라인메모리;고스트노트;포켓,"포켓/그루브가 전부인 펑키 타입. 쉼표, 고스트노트, 액센트 컨트롤이 포인트. 난이도 Lv.4(상급) — 핵심: 싱코페이션, 라인메모리, 고스트노트. 빠른 모타운 펑크. 줄 이동과 고스트노트 정리가 관건—손 힘 빼기. 왼손 릴리즈(뮤트)와 오른손 액센트 대비로 ‘쉼표가 들리게’ 만들기.",추천
S0103,SPECIALZ,King Gnu,Lv.4,Japan;Indie Pop,그루브/펑키,싱코페이션;16비트;고스트노트;포켓;톤컨트롤,"신스/드럼 그루브 위에서 베이스가 훅을 만든다. 고스트노트로 리듬을 채우되, 메인 노트는 굵게. 톤을 너무 과하게 왜곡하지 말고 ‘선명한 저역’에 집중하면 좋다.",추천
S0104,Chameleon,Herbie Hancock,Lv.4,Jazz-Funk;Fusion,그루브/펑키,16비트;싱코페이션;고스트노트;포켓,"포켓/그루브가 전부인 펑키 타입. 쉼표, 고스트노트, 액센트 컨트롤이 포인트. 난이도 Lv.4(상급) — 핵심: 16비트, 싱코페이션, 고스트노트. 펑키한 반복 리프. 그루브가 무너지면 의미가 없음—고스트노트 균일하게. 왼손 릴리즈(뮤트)와 오른손 액센트 대비로 ‘쉼표가 들리게’ 만들기.",추천
